"Region"	"fylkenr"	"idnr"	"densMoose16"	"densRed16"	"densRoe16"	"densreinhunters"	"densmoosehunters"	"densredhunters"	"densroehunters"	"densHuman17"	"kdensrein17"	"reinhunters17"	"moosehunters17"	"redhunters17"	"roehunters"	"humans2017"	"totareal"
"West"	"11"	1	0.038332453	0.153329812	0.532395182	0.231666191	2.664161194	3.127493576	3.590825958	34.51594577	0	10	115	135	155	14899	431.66
"West"	"11"	2	0	0.044490319	0.622864465	1.090321367	2.998383758	7.087088883	7.359669224	101.7051771	0	20	55	130	135	18656	183.43
"West"	"11"	3	0	0	0	18.1974014	36.39480279	76.28910585	61.59120472	1857.940684	0	130	260	545	440	132729	71.44
"West"	"11"	4	0	0.243402573	0.876249264	2.134910416	7.061626761	14.12325352	12.64523862	247.9682026	0	65	215	430	385	75497	304.46
"West"	"12"	5	0	1.680919721	0	0.696330876	1.740827191	13.57845209	1.740827191	131.0564343	0	10	25	195	25	18821	143.61
"South"	"10"	6	0.161357012	0.06807249	0.201696266	0.325005816	2.925052348	2.491711259	2.383375987	3.687732664	0.05252612	15	135	115	110	1702	461.53
"South"	"10"	7	0.192285663	0.049094212	0.306838824	0.199089312	5.972679361	5.176322113	5.176322113	7.027852714	0	5	150	130	130	1765	251.14
"West"	"12"	8	0.020472757	0.719276193	0	0.415360746	0.830721491	2.298329459	0.055381433	8.03806115	0.028267877	75	150	415	10	14514	1805.66
"West"	"14"	9	0	1.692331949	0	0	0.11632257	1.977483685	0	2.996469395	0	0	5	85	0	1288	429.84
"West"	"15"	10	0	1.6	1.571428571	1.246486753	2.492973506	12.46486753	9.971894023	203.8255138	0	5	10	50	40	8176	40.11
"South"	"9"	11	0.118446434	0.037602043	0.197410723	0.181745035	2.635303006	1.999195384	1.999195384	6.568265562	0	10	145	110	110	3614	550.22
"East"	"6"	12	0.218197687	0.063277329	0	0.597630511	1.024509447	0.811069979	0.213439468	4.028883399	0.199813259	70	120	95	25	4719	1171.29
"West"	"14"	13	0.012429308	0.518923622	0	0.919672685	0.476867318	0.885610734	0.034061951	1.217374139	0.181566271	135	70	130	5	1787	1467.91
"East"	"5"	14	0.140665881	0.175050874	0	0.033217371	0.863651637	0.830434266	0.398608448	1.060298471	0	5	130	125	60	1596	1505.24
