"Region"	"County"	"year"	"R_redhunters"	"R_moosehunters"	"R_redharvest.West_tl1"	"R_redharvest.Region_tl1"
"East"	1	2003	30	30	745	93
"East"	1	2004	-10	-20	594	-9
"East"	1	2005	10	-20	501	104
"East"	1	2006	30	-40	1601	11
"East"	1	2007	40	-40	1302	116
"East"	1	2008	43	54	3221	96
"East"	1	2009	14	74	2775	139
"East"	1	2010	50	28	1819	91
"East"	1	2011	35	60	1155	56
"East"	1	2012	-43	-63	-2213	45
"East"	1	2013	19	-4	-2034	111
"East"	1	2014	99	-10	1076	79
"East"	1	2015	-12	-11	-1125	92
"East"	1	2016	52	-20	-1572	-74
"East"	1	2017	-4	-5	3589	221
"East"	2	2003	60	150	745	93
"East"	2	2004	40	-30	594	-9
"East"	2	2005	60	-10	501	104
"East"	2	2006	100	0	1601	11
"East"	2	2007	60	0	1302	116
"East"	2	2008	135	104	3221	96
"East"	2	2009	141	142	2775	139
"East"	2	2010	27	-25	1819	91
"East"	2	2011	92	2	1155	56
"East"	2	2012	32	35	-2213	45
"East"	2	2013	87	75	-2034	111
"East"	2	2014	-1	-27	1076	79
"East"	2	2015	52	-88	-1125	92
"East"	2	2016	57	-20	-1572	-74
"East"	2	2017	86	-62	3589	221
"East"	3	2003	40	80	745	93
"East"	3	2004	30	-10	594	-9
"East"	3	2005	30	-40	501	104
"East"	3	2006	80	-10	1601	11
"East"	3	2007	-20	60	1302	116
"East"	3	2008	105	45	3221	96
"East"	3	2009	45	20	2775	139
"East"	3	2010	60	55	1819	91
"East"	3	2011	25	15	1155	56
"East"	3	2012	40	30	-2213	45
"East"	3	2013	25	30	-2034	111
"East"	3	2014	55	-40	1076	79
"East"	3	2015	25	-15	-1125	92
"East"	3	2016	40	-25	-1572	-74
"East"	3	2017	5	-60	3589	221
"East"	4	2003	40	40	745	93
"East"	4	2004	30	-170	594	-9
"East"	4	2005	70	-50	501	104
"East"	4	2006	100	-10	1601	11
"East"	4	2007	80	-90	1302	116
"East"	4	2008	128	30	3221	96
"East"	4	2009	209	145	2775	139
"East"	4	2010	63	-15	1819	91
"East"	4	2011	149	60	1155	56
"East"	4	2012	26	-95	-2213	45
"East"	4	2013	43	-15	-2034	111
"East"	4	2014	42	-45	1076	79
"East"	4	2015	85	-60	-1125	92
"East"	4	2016	84	-55	-1572	-74
"East"	4	2017	97	-130	3589	221
"East"	5	2003	70	0	745	93
"East"	5	2004	110	-20	594	-9
"East"	5	2005	160	-50	501	104
"East"	5	2006	150	40	1601	11
"East"	5	2007	80	10	1302	116
"East"	5	2008	145	76	3221	96
"East"	5	2009	123	133	2775	139
"East"	5	2010	144	17	1819	91
"East"	5	2011	167	49	1155	56
"East"	5	2012	76	8	-2213	45
"East"	5	2013	28	-47	-2034	111
"East"	5	2014	160	54	1076	79
"East"	5	2015	38	-15	-1125	92
"East"	5	2016	85	-2	-1572	-74
"East"	5	2017	104	42	3589	221
"East"	6	2003	70	60	745	93
"East"	6	2004	80	-60	594	-9
"East"	6	2005	90	-90	501	104
"East"	6	2006	90	40	1601	11
"East"	6	2007	110	0	1302	116
"East"	6	2008	184	49	3221	96
"East"	6	2009	190	59	2775	139
"East"	6	2010	85	64	1819	91
"East"	6	2011	78	9	1155	56
"East"	6	2012	-23	8	-2213	45
"East"	6	2013	111	-38	-2034	111
"East"	6	2014	55	7	1076	79
"East"	6	2015	123	70	-1125	92
"East"	6	2016	-20	-140	-1572	-74
"East"	6	2017	-23	-40	3589	221
"West"	11	2003	180	70	745	745
"West"	11	2004	40	0	594	594
"West"	11	2005	130	-40	501	501
"West"	11	2006	20	0	1601	1601
"West"	11	2007	40	-40	1302	1302
"West"	11	2008	188	31	3221	3221
"West"	11	2009	173	50	2775	2775
"West"	11	2010	139	-17	1819	1819
"West"	11	2011	83	99	1155	1155
"West"	11	2012	31	-24	-2213	-2213
"West"	11	2013	3	-10	-2034	-2034
"West"	11	2014	104	-22	1076	1076
"West"	11	2015	113	14	-1125	-1125
"West"	11	2016	45	-4	-1572	-1572
"West"	11	2017	11	1	3589	3589
"West"	12	2003	100	60	745	745
"West"	12	2004	-10	-30	594	594
"West"	12	2005	130	60	501	501
"West"	12	2006	-40	-10	1601	1601
"West"	12	2007	60	10	1302	1302
"West"	12	2008	246	82	3221	3221
"West"	12	2009	319	66	2775	2775
"West"	12	2010	141	-4	1819	1819
"West"	12	2011	90	-7	1155	1155
"West"	12	2012	0	25	-2213	-2213
"West"	12	2013	-76	-108	-2034	-2034
"West"	12	2014	92	100	1076	1076
"West"	12	2015	-2	-6	-1125	-1125
"West"	12	2016	-21	12	-1572	-1572
"West"	12	2017	195	-12	3589	3589
"West"	14	2003	80	0	745	745
"West"	14	2004	-10	10	594	594
"West"	14	2005	-30	20	501	501
"West"	14	2006	-70	10	1601	1601
"West"	14	2007	-40	10	1302	1302
"West"	14	2008	213	31	3221	3221
"West"	14	2009	58	21	2775	2775
"West"	14	2010	-55	-29	1819	1819
"West"	14	2011	30	50	1155	1155
"West"	14	2012	-105	-14	-2213	-2213
"West"	14	2013	-60	28	-2034	-2034
"West"	14	2014	74	-23	1076	1076
"West"	14	2015	-9	24	-1125	-1125
"West"	14	2016	-23	25	-1572	-1572
"West"	14	2017	40	4	3589	3589
"West"	15	2003	-10	70	745	745
"West"	15	2004	10	60	594	594
"West"	15	2005	-80	20	501	501
"West"	15	2006	30	60	1601	1601
"West"	15	2007	-40	0	1302	1302
"West"	15	2008	300	123	3221	3221
"West"	15	2009	175	115	2775	2775
"West"	15	2010	-31	-32	1819	1819
"West"	15	2011	61	60	1155	1155
"West"	15	2012	14	25	-2213	-2213
"West"	15	2013	-73	8	-2034	-2034
"West"	15	2014	17	18	1076	1076
"West"	15	2015	106	11	-1125	-1125
